support,itemsets
1.0,frozenset({'p'})
1.0,frozenset({'f'})
0.9763663220088626,frozenset({'w'})
0.9217134416543574,frozenset({'o'})
0.8778926637124569,frozenset({'n'})
0.8552437223042836,frozenset({'c'})
0.810930576070901,frozenset({'e'})
0.8028064992614475,frozenset({'s'})
0.7602166420482521,frozenset({'t'})
0.6469719350073855,frozenset({'k'})
0.4500246184145741,frozenset({'x'})
0.11324470704086657,frozenset({'u'})
0.9470704086656819,frozenset({'b'})
0.5910881339241753,frozenset({'y'})
0.5209256523879862,frozenset({'g'})
0.1223535204332841,frozenset({'a'})
0.31117676021664203,frozenset({'l'})
0.49729197439684886,frozenset({'v'})
0.38749384539635645,frozenset({'d'})
0.22451994091580502,frozenset({'h'})
0.3052683407188577,frozenset({'?'})
1.0,"frozenset({'f', 'p'})"
0.9763663220088626,"frozenset({'w', 'f'})"
0.9763663220088626,"frozenset({'w', 'p'})"
0.9763663220088626,"frozenset({'w', 'f', 'p'})"
0.9217134416543574,"frozenset({'o', 'f'})"
0.9217134416543574,"frozenset({'o', 'p'})"
0.8980797636632201,"frozenset({'o', 'w'})"
0.8687838503200394,"frozenset({'o', 'b'})"
0.9217134416543574,"frozenset({'o', 'f', 'p'})"
0.8980797636632201,"frozenset({'o', 'w', 'p'})"
0.8980797636632201,"frozenset({'o', 'w', 'f'})"
0.8980797636632201,"frozenset({'o', 'w', 'f', 'p'})"
0.8687838503200394,"frozenset({'o', 'b', 'p'})"
0.8687838503200394,"frozenset({'f', 'o', 'b'})"
0.845150172328902,"frozenset({'o', 'w', 'b'})"
0.8687838503200394,"frozenset({'f', 'o', 'b', 'p'})"
0.845150172328902,"frozenset({'o', 'w', 'b', 'p'})"
0.845150172328902,"frozenset({'f', 'o', 'w', 'b'})"
0.845150172328902,"frozenset({'f', 'b', 'o', 'p', 'w'})"
0.8778926637124569,"frozenset({'f', 'n'})"
0.8778926637124569,"frozenset({'p', 'n'})"
0.8542589857213195,"frozenset({'w', 'n'})"
0.7996061053668144,"frozenset({'o', 'n'})"
0.8249630723781388,"frozenset({'b', 'n'})"
0.8778926637124569,"frozenset({'f', 'p', 'n'})"
0.8542589857213195,"frozenset({'w', 'p', 'n'})"
